Customer ID,Age,Gender,Item Purchased,Category,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Purchase Amount (VND)
11699,66,Male,Socks,Footwear,District 6,L,Blue,Spring,3.6,Yes,Venmo,Free Shipping,Yes,Yes,33,PayPal,Bi-Weekly,800000
10131,22,Female,Shorts,Clothing,Ung Hoa,M,Charcoal,Summer,3.6,Yes,PayPal,2-Day Shipping,No,Yes,18,Venmo,Bi-Weekly,500000
3296,70,Female,Blouse,Clothing,Hoan Kiem,S,Lavender,Summer,2.8,No,PayPal,Next Day Air,No,No,15,Cash,Weekly,850000
10189,27,Male,Pants,Outerwear,Thanh Tri,S,Olive,Winter,4.2,Yes,Bank Transfer,Free Shipping,No,Yes,36,Cash,Bi-Weekly,1275000
9968,25,Male,Pants,Clothing,Phu Nhuan,L,Gray,Winter,4.9,No,Credit Card,2-Day Shipping,No,No,45,Debit Card,Quarterly,1800000
11787,24,Female,Jeans,Outerwear,Tan Phu,M,Maroon,Spring,5,Yes,Debit Card,Store Pickup,Yes,Yes,23,Venmo,Monthly,2150000
577,48,Male,Hat,Accessories,District 8,M,Black,Winter,5,Yes,Venmo,2-Day Shipping,Yes,Yes,5,Credit Card,Every 3 Months,1700000
10649,23,Female,Hat,Clothing,Quoc Oai,M,Blue,Winter,2.9,Yes,Venmo,Next Day Air,No,Yes,39,Credit Card,Bi-Weekly,1200000
11810,57,Female,Coat,Footwear,District 1,M,Maroon,Spring,4.5,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Quarterly,2425000
440,62,Male,Jacket,Outerwear,Can Gio,M,Turquoise,Summer,3.4,Yes,PayPal,Free Shipping,Yes,Yes,31,Cash,Monthly,1250000
4315,66,Male,Hoodie,Clothing,Binh Thanh,M,Pink,Fall,4.1,No,Venmo,Express,Yes,No,40,Credit Card,Quarterly,1175000
12934,23,Male,Jeans,Clothing,Binh Chanh,L,Gray,Summer,4.2,No,Bank Transfer,2-Day Shipping,Yes,No,8,Cash,Quarterly,950000
10719,24,Female,Sneakers,Footwear,Can Gio,M,Black,Winter,4,Yes,Bank Transfer,Free Shipping,No,Yes,37,PayPal,Quarterly,1650000
11100,51,Female,Pants,Accessories,Thu Duc,L,Turquoise,Winter,3.8,No,Credit Card,Standard,Yes,No,36,Cash,Weekly,2375000
9446,21,Male,Dress,Clothing,Tay Ho,XL,White,Fall,3.4,No,Venmo,2-Day Shipping,No,Yes,28,Debit Card,Fortnightly,2000000
11480,64,Female,Belt,Clothing,Tay Ho,M,Black,Spring,4.3,No,Credit Card,Next Day Air,No,Yes,17,Venmo,Weekly,550000
583,40,Male,Jacket,Outerwear,Quoc Oai,L,Turquoise,Spring,4.9,Yes,Debit Card,Store Pickup,Yes,Yes,2,Bank Transfer,Quarterly,1925000
15377,47,Male,Backpack,Accessories,Nha Be,M,Blue,Fall,4.2,Yes,Bank Transfer,Standard,Yes,Yes,18,Bank Transfer,Weekly,1825000
12498,18,Female,Hoodie,Accessories,Can Gio,S,Green,Spring,4.4,Yes,Venmo,Express,No,Yes,12,Debit Card,Quarterly,1275000
13605,28,Female,Sneakers,Outerwear,Phu Nhuan,M,Gray,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,No,14,PayPal,Bi-Weekly,2325000
15343,67,Female,Pants,Footwear,Tay Ho,S,Charcoal,Winter,3.8,No,Credit Card,Next Day Air,Yes,No,11,Venmo,Bi-Weekly,1825000
3814,61,Female,Pants,Clothing,District 8,M,Orange,Summer,4.1,No,Credit Card,Express,No,No,31,Venmo,Bi-Weekly,2225000
10087,29,Female,Blouse,Clothing,District 10,M,Black,Summer,2.9,Yes,Venmo,Next Day Air,Yes,Yes,43,Credit Card,Weekly,1375000
14932,29,Female,Dress,Footwear,Hoc Mon,S,Gray,Fall,3.7,Yes,Debit Card,Standard,Yes,No,49,Bank Transfer,Bi-Weekly,1450000
10394,25,Female,Blouse,Clothing,My Duc,XL,Gray,Fall,3.5,Yes,Venmo,2-Day Shipping,Yes,Yes,34,Venmo,Weekly,1075000
15367,31,Female,Sweater,Clothing,Phuc Tho,L,Gray,Winter,3.8,No,Cash,2-Day Shipping,Yes,No,38,Venmo,Quarterly,2075000
